City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
10,Alugan,PH,77.56,overcast clouds,12.2188,125.4808,JM Lodge
18,Vaini,TO,78.96,heavy intensity rain,-21.2,-175.2,Keleti Beach Resort
20,Kahului,US,77.85,light rain,20.8947,-156.47,Maui Seaside Hotel
31,Saint-Philippe,RE,77.22,overcast clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
42,Kismayo,SO,79.09,few clouds,-0.3582,42.5454,Agan-Hotel
46,Mahebourg,MU,79.09,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
49,Luwuk,ID,77.11,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
50,Rikitea,PF,77.16,light rain,-23.1203,-134.9692,People ThankYou
60,Atuona,PF,78.64,few clouds,-9.8,-139.0333,Villa Enata
68,Cidreira,BR,79.81,clear sky,-30.1811,-50.2056,Hotel Castelo
72,Todos Santos,MX,76.01,clear sky,23.45,-110.2167,Hotel California Todos Santos
87,San Pedro,PH,76.23,broken clouds,14.35,121.0167,Villa Veronica Resort Private Pool
89,Cabo San Lucas,MX,76.51,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
96,Grand Gaube,MU,79.2,scattered clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
101,Bengkulu,ID,75.29,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
108,Meulaboh,ID,75.42,scattered clouds,4.1363,96.1285,Kost Pria
113,Sur,OM,76.19,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
118,Bambous Virieux,MU,79.05,broken clouds,-20.3428,57.7575,Casa Tia Villa
128,Hilo,US,76.62,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
132,Carnarvon,AU,75.27,clear sky,-24.8667,113.6333,Hospitality Carnarvon
140,Vao,NC,78.51,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
161,Martapura,ID,77.09,overcast clouds,-3.4167,114.85,Montana Hotel Syariah
165,Avarua,CK,78.85,few clouds,-21.2078,-159.775,Paradise Inn
170,Innisfail,AU,76.39,overcast clouds,-17.5333,146.0333,Moondarra Motel
171,Sri Aman,MY,75.25,overcast clouds,1.2376,111.4621,Seri Simanggang Hotel
184,Mar Del Plata,AR,78.82,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
197,Batticaloa,LK,76.41,scattered clouds,7.7102,81.6924,Grand Star Guest House
207,Salalah,OM,77.09,few clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
208,Mexico,PH,77.02,overcast clouds,15.0646,120.7198,stone place
212,Byron Bay,AU,77.05,broken clouds,-28.65,153.6167,Backpackers Inn
213,Baculin,PH,75.78,overcast clouds,7.4525,126.5842,Baculin Cove Beach Resort
217,Kattivakkam,IN,79.07,few clouds,13.2167,80.3167,Euronova Freezer
228,Biak,ID,75.76,overcast clouds,-0.9131,122.8766,Penginapan Kim
229,Sibolga,ID,75.96,light rain,1.7427,98.7792,Hotel Syariah CN Darussalam
241,Ouesso,CG,78.22,overcast clouds,1.6136,16.0517,ABENIE Hotel
246,Rock Sound,BS,78.24,clear sky,24.9,-76.2,Pink Corral Bay Property
247,Marang,MY,78.71,overcast clouds,5.2056,103.2059,DBarakah Homestay
251,Tabou,CI,79.61,overcast clouds,4.423,-7.3528,hotêl doufoulougou
254,Comodoro Rivadavia,AR,78.66,dust,-45.8667,-67.5,Austral Hotel
262,Quatre Cocos,MU,78.91,overcast clouds,-20.2078,57.7625,Sunrise Attitude Hotel
273,Sorong,ID,79.9,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
276,Miramar,US,75.2,overcast clouds,25.9873,-80.2323,Casa Miramar
296,Isangel,VU,79.7,overcast clouds,-19.55,169.2667,Tanna Lodge
301,Odiongan,PH,76.39,overcast clouds,12.4017,121.9919,LFH Apartelle
306,Nouadhibou,MR,75.18,overcast clouds,20.931,-17.0347,El Medina
309,Ponnani,IN,79.92,overcast clouds,10.767,75.9252,Rouba Residency
313,Magdalena,PH,76.32,overcast clouds,14.1999,121.429,Samparada & Gestiada Residences
316,Jawhar,SO,76.95,clear sky,2.7809,45.5005,hantiwadaag village part one
317,Buchanan,LR,75.16,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
319,Nha Trang,VN,75.2,overcast clouds,12.25,109.1833,Sheraton Nha Trang Hotel & Spa
335,Maumere,ID,79.7,light rain,-8.6199,122.2111,Sylvia Hotel
338,Vanimo,PG,77.27,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
339,Jalingo,NG,77.63,overcast clouds,8.8833,11.3667,Debright Motel
340,Omboue,GA,77.9,overcast clouds,-1.5746,9.2618,Hotel Olako
356,Alofi,NU,76.89,moderate rain,-19.0595,-169.9187,Taloa Heights
357,Ambon,ID,77.14,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
379,Sao Filipe,CV,75.31,clear sky,14.8961,-24.4956,Hotel Xaguate
382,Srivardhan,IN,75.65,few clouds,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
395,Cockburn Town,TC,78.67,clear sky,21.4612,-71.1419,Osprey Beach Hotel
396,Hambantota,LK,77.34,broken clouds,6.1241,81.1185,Bungalow 63
401,Luanda,AO,78.8,few clouds,-8.8368,13.2343,Hotel Fórum
409,Daru,PG,77.05,overcast clouds,-9.0763,143.2092,Daru Lodge
416,Bima,ID,76.05,overcast clouds,-8.4667,118.7167,Lambitu Hotel
421,Bontang,ID,76.89,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
446,Souillac,MU,79.18,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
448,Honiara,SB,77.49,scattered clouds,-9.4333,159.95,Heritage Park Hotel
457,Inhambane,MZ,78.15,few clouds,-23.865,35.3833,Oceano
490,Cam Ranh,VN,75.16,broken clouds,11.9214,109.1591,OYO 598 Peony Hotel
493,Luganville,VU,78.62,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
505,San Policarpo,PH,78.08,overcast clouds,12.1791,125.5072,Agapita M. Nicart
506,Emerald,AU,78.87,clear sky,-23.5333,148.1667,The Irish Village
507,Saint-Pierre,RE,77.29,clear sky,-21.3393,55.4781,Lindsey Hôtel
509,Ambilobe,MG,76.55,light rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
512,Labuhan,ID,77.05,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
541,Ternate,ID,78.67,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
554,Harper,LR,79.74,broken clouds,4.375,-7.7169,Screensaver
559,Isabela,PH,77.7,overcast clouds,6.7085,121.9711,Isawad Resort
569,Miri,MY,75.6,light rain,4.4148,114.0089,"Mega Hotel, Miri"
579,Quelimane,MZ,78.67,overcast clouds,-17.8786,36.8883,Hotel Flamingo
582,Cap Malheureux,MU,79.29,scattered clouds,-19.9842,57.6142,Pereybere Hotel & Spa
586,Mogadishu,SO,78.87,clear sky,2.0371,45.3438,Hotel Juba
590,San Cristobal,VE,78.98,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
592,Teluknaga,ID,78.19,few clouds,-6.0989,106.6381,Bale Ocasa hotel
599,Cabinda,AO,78.91,overcast clouds,-5.55,12.2,Hotel Maiombe
608,Gwanda,ZW,75.54,light rain,-20.9333,29.0,Mafax Homeways
614,Santa Luzia,BR,76.1,overcast clouds,-19.7697,-43.8514,Pousada Chao Earth
637,Betare Oya,CM,77.47,overcast clouds,5.6,14.0833,Auberge Tembina Betaré Oya
645,Inongo,CD,75.36,light rain,-1.95,18.2667,Hotel Du Lac
647,Palu,ID,75.06,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
659,Obidos,BR,79.86,overcast clouds,-1.9175,-55.5181,Hotel Amazônia Center
664,Bembereke,BJ,76.41,overcast clouds,10.2283,2.6634,Hotel Bio Guera
678,Corrente,BR,78.49,moderate rain,-3.7367,-43.3394,Chapadinhense Hotel
686,Ndioum,SN,79.84,few clouds,16.5129,-14.6471,l'hôtel samassa
687,Manakara,MG,76.42,scattered clouds,-22.1333,48.0167,La Residence Manakara
